TimePeriod,GeoType,GeoID,GeoRank,Geography,Bicycle (number),Bicycle (percent),"Car, truck, or van (number)","Car, truck, or van (percent)",Public transportation (number),Public transportation (percent),Walked (number),Walked (percent)
2017-21,NTA2020,50101,9,Mott Haven-Port Morris,70,0.4,"2,687",15,"11,583",64.6,"2,107",11.7
2017-21,NTA2020,50102,9,Melrose,59,0.4,"2,489",17.3,"9,137",63.4,"1,313",9.1
2017-21,NTA2020,50201,9,Hunts Point,22,0.4,985,19.4,"3,051",60,753,14.8
2017-21,NTA2020,50202,9,Longwood,155,1,"3,626",24.1,"9,046",60.1,"1,457",9.7
2017-21,NTA2020,50301,9,Morrisania,135,1,"2,690",20.6,"7,632",58.4,"1,661",12.7
2017-21,NTA2020,50302,9,Claremont Village-Claremont (East),0,0,"1,668",21.3,"4,337",55.3,"1,179",15
2017-21,NTA2020,50303,9,Crotona Park East,27,0.2,"3,054",26.4,"6,968",60.3,788,6.8
2017-21,NTA2020,50401,9,Concourse-Concourse Village,109,0.4,"4,480",16.1,"19,130",68.7,"2,498",9
2017-21,NTA2020,50402,9,Highbridge,91,0.7,"2,128",16.5,"8,911",69.1,719,5.6
2017-21,NTA2020,50403,9,Mount Eden-Claremont (West),77,0.4,"3,326",16.9,"13,606",69,"1,618",8.2
2017-21,NTA2020,50501,9,University Heights (South)-Morris Heights,95,0.4,"4,664",21.8,"12,959",60.6,"1,413",6.6
2017-21,NTA2020,50502,9,Mount Hope,30,0.2,"3,165",16.8,"12,746",67.8,"1,283",6.8
2017-21,NTA2020,50503,9,Fordham Heights,77,0.6,"1,933",15.5,"8,702",69.8,897,7.2
2017-21,NTA2020,50601,9,West Farms,36,0.6,"1,423",23.5,"3,954",65.2,287,4.7
2017-21,NTA2020,50602,9,Tremont,16,0.1,"2,973",26.8,"6,651",59.8,457,4.1
2017-21,NTA2020,50603,9,Belmont,42,0.4,"2,194",18.4,"7,194",60.2,"1,754",14.7
2017-21,NTA2020,50701,9,University Heights (North)-Fordham,197,1.1,"3,322",17.7,"12,438",66.4,"1,528",8.2
2017-21,NTA2020,50702,9,Bedford Park,201,0.8,"3,636",15.3,"16,244",68.2,"1,447",6.1
2017-21,NTA2020,50703,9,Norwood,20,0.1,"4,193",23.6,"10,253",57.7,"1,903",10.7
2017-21,NTA2020,50801,9,Kingsbridge Heights-Van Cortlandt Village,60,0.4,"3,441",22.7,"8,919",58.8,"1,293",8.5
2017-21,NTA2020,50802,9,Kingsbridge-Marble Hill,0,0,"2,565",24.2,"6,135",57.9,918,8.7
2017-21,NTA2020,50803,9,Riverdale-Spuyten Duyvil,97,0.5,"8,050",39.9,"7,305",36.2,"1,223",6.1
2017-21,NTA2020,50901,9,Soundview-Bruckner-Bronx River,127,0.5,"6,124",25.1,"14,758",60.6,"1,401",5.8
2017-21,NTA2020,50902,9,Soundview-Clason Point,12,0.1,"5,890",41.1,"6,835",47.7,848,5.9
2017-21,NTA2020,50903,9,Castle Hill-Unionport,10,0.1,"5,835",38.9,"7,068",47.1,921,6.1
2017-21,NTA2020,50904,9,Parkchester,77,0.6,"2,858",21,"8,899",65.3,830,6.1
2017-21,NTA2020,51001,9,Westchester Square,74,1.1,"2,012",30.8,"3,482",53.3,625,9.6
2017-21,NTA2020,51002,9,Throgs Neck-Schuylerville,126,0.6,"12,312",56.7,"6,723",30.9,896,4.1
2017-21,NTA2020,51003,9,Pelham Bay-Country Club-City Island,0,0,"6,081",46.6,"5,178",39.7,504,3.9
2017-21,NTA2020,51004,9,Co-op City,0,0,"4,583",29.8,"8,187",53.1,"1,423",9.2
2017-21,NTA2020,51101,9,Pelham Parkway-Van Nest,172,1.2,"4,337",30.5,"7,732",54.4,677,4.8
2017-21,NTA2020,51102,9,Morris Park,50,0.5,"4,312",40.7,"4,283",40.4,"1,132",10.7
2017-21,NTA2020,51103,9,Pelham Gardens,4,0,"6,906",54.1,"4,603",36,549,4.3
2017-21,NTA2020,51104,9,Allerton,47,0.3,"4,027",27.9,"8,609",59.7,"1,076",7.5
2017-21,NTA2020,51201,9,Williamsbridge-Olinville,136,0.5,"9,951",38.7,"13,014",50.7,"1,013",3.9
2017-21,NTA2020,51202,9,Eastchester-Edenwald-Baychester,98,0.4,"11,044",44.9,"10,719",43.6,"1,064",4.3
2017-21,NTA2020,51203,9,Wakefield-Woodlawn,40,0.2,"10,012",44.5,"9,818",43.7,801,3.6
2017-21,NTA2020,470101,9,Greenpoint,"1,309",5.6,"3,094",13.1,"12,063",51.2,"1,980",8.4
2017-21,NTA2020,470102,9,Williamsburg,"1,652",4.3,"3,989",10.4,"21,301",55.3,"3,417",8.9
2017-21,NTA2020,470103,9,South Williamsburg,59,0.5,"2,303",19.9,"2,662",23,"5,263",45.5
2017-21,NTA2020,470104,9,East Williamsburg,906,3.2,"2,918",10.2,"17,488",61.3,"2,173",7.6
2017-21,NTA2020,470201,9,Brooklyn Heights,239,1.7,721,5,"7,727",53.5,"1,876",13
2017-21,NTA2020,470202,9,Downtown Brooklyn-DUMBO-Boerum Hill,684,3.1,"1,430",6.5,"12,539",56.6,"2,279",10.3
2017-21,NTA2020,470203,9,Fort Greene,500,2.8,"1,968",10.8,"9,505",52.4,"2,055",11.3
2017-21,NTA2020,470204,9,Clinton Hill,794,5,"1,500",9.5,"8,872",56,"1,375",8.7
2017-21,NTA2020,470301,9,Bedford-Stuyvesant (West),"1,937",4.5,"5,569",12.9,"24,429",56.5,"4,045",9.4
2017-21,NTA2020,470302,9,Bedford-Stuyvesant (East),"1,114",2.5,"8,748",19.9,"26,395",59.9,"1,580",3.6
2017-21,NTA2020,470401,9,Bushwick (West),"1,133",3.6,"3,670",11.6,"20,159",63.6,"2,466",7.8
2017-21,NTA2020,470402,9,Bushwick (East),515,1.6,"6,119",19.5,"19,824",63.2,"1,679",5.3
2017-21,NTA2020,470501,9,Cypress Hills,194,1.1,"5,248",28.7,"10,842",59.2,590,3.2
2017-21,NTA2020,470502,9,East New York (North),29,0.2,"4,447",26.5,"10,371",61.8,317,1.9
2017-21,NTA2020,470503,9,East New York-New Lots,75,0.4,"4,496",23.3,"12,032",62.5,774,4
2017-21,NTA2020,470504,9,Spring Creek-Starrett City,53,0.9,"1,581",27.5,"3,017",52.5,588,10.2
2017-21,NTA2020,470505,9,East New York-City Line,0,0,"4,666",26.7,"10,586",60.6,"1,165",6.7
2017-21,NTA2020,470601,9,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"1,653",5.1,"3,144",9.6,"16,161",49.4,"4,448",13.6
2017-21,NTA2020,470602,9,Park Slope,896,2.5,"2,876",8.2,"19,058",54.2,"2,554",7.3
2017-21,NTA2020,470701,9,Windsor Terrace-South Slope,398,2.8,"1,981",13.9,"8,090",56.9,"1,076",7.6
2017-21,NTA2020,470702,9,Sunset Park (West),462,1.8,"4,554",18.1,"14,168",56.3,"3,126",12.4
2017-21,NTA2020,470703,9,Sunset Park (Central),544,2.7,"4,312",21.4,"10,426",51.9,"3,229",16.1
2017-21,NTA2020,470801,9,Prospect Heights,533,3.7,"1,149",8,"8,039",56.3,887,6.2
2017-21,NTA2020,470802,9,Crown Heights (North),"1,649",3.8,"5,710",13.3,"26,660",62.1,"1,694",3.9
2017-21,NTA2020,470901,9,Crown Heights (South),321,1.3,"3,826",16,"14,507",60.7,"2,321",9.7
2017-21,NTA2020,470902,9,Prospect Lefferts Gardens-Wingate,385,1.7,"3,597",15.5,"14,319",61.5,"1,451",6.2
2017-21,NTA2020,471001,9,Bay Ridge,472,1.2,"10,461",25.5,"20,337",49.7,"3,223",7.9
2017-21,NTA2020,471002,9,Dyker Heights,503,2.7,"6,132",32.8,"7,857",42,"1,942",10.4
2017-21,NTA2020,471101,9,Bensonhurst,832,1.9,"12,831",28.6,"23,346",52,"4,200",9.4
2017-21,NTA2020,471102,9,Bath Beach,117,0.8,"4,805",33.2,"7,336",50.7,636,4.4
2017-21,NTA2020,471103,9,Gravesend (West),266,1,"7,105",27.5,"13,789",53.4,"2,013",7.8
2017-21,NTA2020,471201,9,Sunset Park (East)-Borough Park (West),178,1.5,"2,516",21.2,"5,385",45.4,"2,438",20.6
2017-21,NTA2020,471202,9,Borough Park,285,1.2,"6,900",28.7,"6,234",25.9,"8,169",34
2017-21,NTA2020,471203,9,Kensington,371,2.1,"3,723",20.8,"9,238",51.7,"1,154",6.5
2017-21,NTA2020,471204,9,Mapleton-Midwood (West),207,1.4,"5,245",36.3,"5,017",34.8,"2,461",17
2017-21,NTA2020,471301,9,Gravesend (South),13,0.1,"3,609",32.4,"5,438",48.9,"1,157",10.4
2017-21,NTA2020,471302,9,Coney Island-Sea Gate,27,0.2,"4,963",29.5,"8,584",51,"1,493",8.9
2017-21,NTA2020,471303,9,Brighton Beach,165,1.2,"3,030",22.9,"6,465",48.9,"2,264",17.1
2017-21,NTA2020,471401,9,Flatbush,513,1.4,"6,296",17.6,"23,639",66.1,"1,404",3.9
2017-21,NTA2020,471402,9,Flatbush (West)-Ditmas Park-Parkville,320,1.6,"4,834",24.1,"10,442",52.1,"1,488",7.4
2017-21,NTA2020,471403,9,Midwood,127,0.6,"7,646",35.7,"8,874",41.4,"2,144",10
2017-21,NTA2020,471501,9,Gravesend (East)-Homecrest,252,1.2,"7,689",35.4,"9,165",42.2,"2,283",10.5
2017-21,NTA2020,471502,9,Madison,200,1.1,"6,082",32.9,"8,667",46.9,"1,391",7.5
2017-21,NTA2020,471503,9,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,176,0.6,"12,084",40.5,"12,167",40.7,"1,889",6.3
2017-21,NTA2020,471601,9,Ocean Hill,237,1.4,"2,962",18,"11,198",68.1,834,5.1
2017-21,NTA2020,471602,9,Brownsville,23,0.1,"2,750",17.3,"10,892",68.5,"1,017",6.4
2017-21,NTA2020,471701,9,East Flatbush-Erasmus,295,1.3,"3,780",16.9,"14,844",66.4,"1,546",6.9
2017-21,NTA2020,471702,9,East Flatbush-Farragut,90,0.6,"4,999",30.9,"9,635",59.5,381,2.4
2017-21,NTA2020,471703,9,East Flatbush-Rugby,41,0.2,"5,733",29.2,"11,250",57.3,866,4.4
2017-21,NTA2020,471704,9,East Flatbush-Remsen Village,58,0.4,"4,025",26.2,"9,734",63.4,844,5.5
2017-21,NTA2020,471801,9,Flatlands,191,0.6,"12,440",39.5,"15,579",49.5,822,2.6
2017-21,NTA2020,471802,9,Marine Park-Mill Basin-Bergen Beach,81,0.4,"11,677",56.2,"6,375",30.7,695,3.3
2017-21,NTA2020,471803,9,Canarsie,60,0.1,"16,245",40.2,"20,848",51.6,"1,147",2.8
2017-21,NTA2020,610101,9,Financial District-Battery Park City,303,0.9,"1,491",4.6,"15,723",48.3,"8,127",25
2017-21,NTA2020,610102,9,Tribeca-Civic Center,174,1.4,598,4.8,"5,421",43.1,"2,827",22.5
2017-21,NTA2020,610201,9,SoHo-Little Italy-Hudson Square,437,2.9,911,6.1,"7,148",47.6,"2,654",17.7
